rank,sweep_stage,hostile_rank,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query,relevance_score,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
1,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,1,Adaptive PID-like fault-tolerant control for robot manipulators with given performance specifications,2018,International Journal of Control,Ye Cao; Yongduan Song,https://doi.org/10.1080/00207179.2018.1468928,https://doi.org/10.1080/00207179.2018.1468928,https://openalex.org/W2801259744,53,robot manipulator actuator fault tolerant control,61.265,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This paper investigates the trajectory tracking problem of rigid robot manipulators with unknown dynamics and actuator failures. The goal is to achieve desirable tracking performance with a simple and low-cost control strategy. By introducing a new form of parameter estimation error, together with an error transformation, a robust adaptive and fault-tolerant control scheme is developed without the need for fault information nor precise robotic mathematical model. It is shown that, with the proposed control, the tracking error is ensured to conv"
2,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,2,Dual arm coordination of redundant space manipulators mounted on a spacecraft,2023,Robotica,S. Kalaycioglu; Anton de Ruiter,https://doi.org/10.1017/s0263574723000504,https://doi.org/10.1017/s0263574723000504,https://openalex.org/W4378651323,27,robot manipulation actuator limits torque saturation,59.135,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Abstract The paper addresses a significant challenge in on-orbit robotics servicing and assembly, which is to overcome the saturation setback of force/torque on robot joint and spacecraft actuators during the post-capture stage while controlling a target spacecraft with uncontrolled large angular and linear momentums. The authors propose a novel solution based on two robust and efficient control algorithms: Optimal Control Allocation (OCA) and Non-linear Model Predictive Control (NMPC). Both algorithms aim to minimize joint torques, spacecraft "
3,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,3,Neural Networks-Based Fault Tolerant Control of a Robot via Fast Terminal Sliding Mode,2019,IEEE Transactions on Systems Man and Cybernetics Systems,Shuang Zhang; Pengxin Yang; Linghuan Kong; Wenshi Chen; Qiang Fu; Kaixiang Peng,https://doi.org/10.1109/tsmc.2019.2933050,https://doi.org/10.1109/tsmc.2019.2933050,https://openalex.org/W2970938399,149,robot manipulator actuator fault tolerant control,55.745,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This article develops a robust fault tolerant (FT) control scheme for an n-link uncertain robotic system with actuator failures. In order to eliminate the influence of both the uncertainties and actuator failures on the system performance, the Gaussian radial basis function neural networks are used to compensate for the actuator failures and uncertain dynamics. An adaptive observer is designed to compensate for external disturbance. In addition, in order to accelerate the recovery of system stability after failure, a nonsingular fast terminal s"
4,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,4,The Control Handbook,2005,,William S. Levine,,https://openalex.org/W1581560749,https://openalex.org/W1581560749,1066,robot manipulator adaptive control actuator uncertainty,55.330,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"FUNDAMENTALS OF CONTROL Mathematical Foundations Ordinary Linear Differential and Difference Equations, B.P. Lathi The Fourier, Laplace, and Z-Transforms, E.W. Kamen Matrices and Linear Algebra, B.W. Dickinson Complex Variables, C.W. Gray Models for Dynamical Systems Standard Mathematical Models Input-Output Models, W.S. Levine State Space, J. Gillis Graphical Models Block Diagrams, D.K. Frederick and C.M. Close Signal Flow Graphs, N.S. Nise Determining Models Modeling from Physical Principles, F.E. Cellier, H. Elmqvist, and M. Otter System Ide"
5,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,5,Finite-Time Adaptive Fault-Tolerant Control for Robot Manipulators With Guaranteed Transient Performance,2025,IEEE Transactions on Industrial Informatics,Yongling Xia; Yeqing Yuan; Weichao Sun,https://doi.org/10.1109/tii.2024.3523592,https://doi.org/10.1109/tii.2024.3523592,https://openalex.org/W4406170468,21,robot manipulator actuator fault tolerant control,55.105,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This article studies finite-time adaptive fault-tolerant control for uncertain robotic manipulator systems with guaranteed transient performance. Combining with backstepping method and neural network techniques, a novel finite-time adaptive fault-tolerant control method is presented, where neural networks are utilized to handle model uncertainties. By introducing an error transformation strategy and a performance function, the transient performance constraints of the system are converted into the stabilization problem of the unconstrained robot"
6,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,6,Adaptive fault tolerant control for a class of input and state constrained MIMO nonlinear systems,2015,International Journal of Robust and Nonlinear Control,Xu Jin,https://doi.org/10.1002/rnc.3312,https://doi.org/10.1002/rnc.3312,https://openalex.org/W1666238337,213,robot manipulator actuator fault tolerant control,55.065,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"Summary In this work, we present a novel adaptive fault tolerant control (FTC) scheme for a class of control input and system state constrained multi‐input multi‐output (MIMO) nonlinear systems with both multiplicative and additive actuator faults. The input constraints can be asymmetric, and the state constraints can be time‐varying. A novel tan ‐type time‐varying Barrier Lyapunov Function (BLF) is proposed to deal with the state constraints, and an auxiliary system is designed to analyze the effect of the input constraints. We show that under"
7,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,7,Control of robot manipulators with consideration of actuator performance degradation and failures,2002,,Guangjun Liu,https://doi.org/10.1109/robot.2001.933009,https://doi.org/10.1109/robot.2001.933009,https://openalex.org/W2126252061,50,robot manipulator actuator fault tolerant control,54.250,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"The problems of control of robot manipulators with actuation degradation and detection of actuation faults are addressed. An adaptive fault tolerant control method is proposed for robot manipulators to maintain the required performance in the presence of actuation degradation, and the same adaptive algorithm is utilized to detect actuation failures. The proposed method can compensate for the effects of not only the parametric model uncertainty, such as payload variations, but also the uncertainty in the actuation torque coefficients. The propos"
8,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,8,Highly‐Aligned All‐Fiber Actuator with Asymmetric Photothermal‐Humidity Response and Autonomous Perceptivity,2024,Advanced Materials,Yufan Zhang; Xinran Zhou; Luyun Liu; Shuang Wang; Yue Zhang; Mengjie Wu; et al.,https://doi.org/10.1002/adma.202404696,https://doi.org/10.1002/adma.202404696,https://openalex.org/W4400048093,48,robot manipulation actuator asymmetry,54.240,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Abstract Soft robots adapt to complex environments for autonomous locomotion, manipulation, and perception are attractive for robot‐environment interactions. Strategies to reconcile environment‐triggered actuation and self‐powered sensing responses to different stimuli remain challenging. By tuning the in situ vapor phase solvent exchange effect in continuous electrospinning, an asymmetric highly‐aligned all‐fiber membrane (HAFM) with a hierarchical “grape‐like” nanosphere‐assembled microfiber structure (specific surface area of 13.6 m 2 g −1 )"
9,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,9,Advanced Control Strategies for Space Systems: Integration of Model Predictive Control and Neural Networks,2025,IntechOpen eBooks,Sean Kalaycioglu; Anton de Ruiter,https://doi.org/10.5772/intechopen.1010037,https://doi.org/10.5772/intechopen.1010037,https://openalex.org/W4409585983,3,robot manipulation actuator limits torque saturation,54.015,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"This chapter presents advanced control methodologies for space systems, focusing on the integration of nonlinear model predictive control (NMPC) and neural network approaches. The chapter synthesizes novel developments in controlling coupled structural-attitude dynamics of spacecraft with flexible appendages and multiple robotic manipulators. Key innovations include the application of nonlinear autoregressive exogenous model (NARX) neural networks for adaptive state estimation, passivity-based NMPC for robust control, and piezoelectric actuator"
10,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,10,Finite‐time fault‐tolerant adaptive robust control for a class of uncertain non‐linear systems with saturation constraints using integral backstepping approach,2018,IET Control Theory and Applications,Seyed Majid Smaeilzadeh; Mehdi Golestani,https://doi.org/10.1049/iet-cta.2018.5215,https://doi.org/10.1049/iet-cta.2018.5215,https://openalex.org/W2884600486,51,robot manipulator actuator fault tolerant control,53.255,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This study proposes a finite‐time integral backstepping control for a class of non‐linear systems considering practical aspects including saturation constraints, actuator fault, external disturbances and system uncertainties in order to achieve strong robustness, fast response and high‐precision tracking performance. An adaptive version of the controller is then developed to deal with the total uncertainties in the system. The main property of the suggested controller is that there is no need for the knowledge of the actuator fault, external di"
